Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;Ärmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
124.85;"Emma - Supersoft Organic T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Einfassung, Seitennähte Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken ";"100 % Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"200 g/m²";Bio-Baumwolle;;124.85.jpg
128.85;"Sheila - Women's Organic Deep Round Longsleeve";Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Rippstrickbündchen, Nackenband, Langarm, Seitennähte, Flatlock-Naht an Ärmelabschluss und Bund, Medium Fit 
";"100 % Bio-Baumwolle";Damen;T-Shirts;Langarm;;Boat-Neck;"Fair & Umweltfreundlich";;"155 g/m² ";Bio-Baumwolle;;128.85.jpg
130.85;"Lisa - Women's Batwing T-Shirt ";Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Fledermaus-Ärmel mit schmalen Rippstrick-Bündchen, Seitennähte, Breiter Rippstrick-Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;"155 g/m²";Baumwolle;;130.85.jpg
134.85;"Nancy - Women's Favourite T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit 
";"100% Baumwolle, (Alle Melange Farben: 60% Baumwolle, gekämmt, 40% Polyester)
Grammatur";Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;"155 g/m²";Baumwolle;;134.85.jpg
135.85;"Ruby - Women's Fashion T-Shirt ";Nakedshirt;"Single Jersey 
Tiefer Rundhalsausschnitt mit Paspelierung innen, Fledermaus-Ärmel mit Doppelnaht am Abschluss, Seitennähte,
Doppelnaht am Bund, Bund hinten länger geschnitten und abgerundet, weit geschnitten, neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;"155 g/m²";Baumwolle;;135.85.jpg
136.85;"Alice - Women's Boatneck Tunic T-Shirt";Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Angeschnittene Ärmel, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100% Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;"155 g/m²";Baumwolle;;136.85.jpg
138.85;"Frog - Kid's Organic Favorite T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitennähte, Flatlock-Naht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken 
";"100 % Bio-Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;138.85.jpg
139.85;"Brenda - Organic Deep Round Stretch T-Shirt";Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Einfassung, 
Seitennähte, Doppelnaht an Ärmelabschluss und Bund, 
Körpernaher Schnitt mit Stretch-Effekt, Neutrales Größenetikett im Nacken ";"95% Bio-Baumwolle, 5% Elasthan";Damen;T-Shirts;Kurzarm;;Boat-Neck;"Fair & Umweltfreundlich";;"185 g/m²";Bio-Baumwollgemisch;;139.85.jpg
141.85;"Ruth - Women's Organic Fitted T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen 
Nackenband, Seitennähte, Flatlock-Naht an Ärmelabschluss und Bund, Körpernah geschnitten, Neutrales Größenetikett im Nacken. ";"100 % Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;141.85.jpg
146.85;"Emily - Viscose-Cotton Rolled Up Raglan T-Shirt";Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Raglan-Ärmel mit Flatlock-Naht und fixiertem Umschlag, 
Seitennähte, Doppelnaht am Bund, Medium Fit 
";"70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"150 g/m²";Viskose;;146.85.jpg
148.85;"Bessy - Rolled Up Sleeve Tank Top";Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, Auf der Schulter umgeschlagene und fixierte Ärmel, Seitennähte 
Doppelnaht am Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;"155 g/m²";Baumwolle;;148.85.jpg
149.85;"Lindsay - Women's Loose Fashion T-Shirt";Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Einfassung 
Fledermaus-Ärmel mit Flatlock-Naht am Abschluss, Seitennähte, 
Flatlock-Naht am Bund, Abgerundeter Bund hinten länger geschnitten, Weit geschnitten, Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;"155 g/m²";Baumwolle;;149.85.jpg
150.85;"Larry - Men's Favourite T-Shirt ";Nakedshirt;;"100 % Baumwolle, (Alle Melange Farben: 60% Baumwolle, gekämmt, 40% Polyester)";Herren;T-Shirts;Kurzarm;;Rundhals;Fair;;"155 g/m²";Baumwolle;;150.85.jpg
151.85;"Ben - Men's Organic Scoop Neck T-Shirt";Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Einfassung, 
Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken ";"100 % Bio-Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;151.85.jpg
154.85;"Susan - Women's Scoop Neck T-Shirt";Nakedshirt;"Single Jersey, U-Boot-Ausschnitt mit Einfassung, Nackenband, 
Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;;;Boat-Neck;Fair;;"175 g/m²";Baumwolle;;154.85.jpg
159.85;"Helen - Women's Cap Sleeve T-Shirt";Nakedshirt;"Single Jersey 
Breiter Rundhalsausschnitt mit Einfassung, Angeschnittene Ärmel mit Top Stitch Naht, Seitennähte, Top Stitch Naht am Bund, 
Abgerundeter Bund hinten länger geschnitten, Medium Fit, 
Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;"155 g/m²";Baumwolle;;159.85.jpg
161.85;"Kate - Viscose-Cotton Fashion Boxy T-Shirt";Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit dezentem Rippstrick-Bündchen, Seitennähte, Doppelnaht an Ärmelabschluss und Saum, 
Weit geschnitten mit abgerundetem Saum, Neutrales Größenetikett im Nacken 
";"70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;"Fair & Umweltfreundlich";;"150 g/m²";Viskose;;161.85.jpg
162.85;"Jack - Men's Viscose-Cotton T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken";"70% Viskose (aus Bambus-Cellulose), 30% Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"150 g/m²";Viskose;;162.85.jpg
167.85;"James - Men's Organic V-Neck T-Shirt";Nakedshirt;"Single Jersey, V-Neck mit Rippstrickkragen, Nackenband,  
Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit 
Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Fair;;"155 g/m²";Baumwolle;;167.85.jpg
170.85;"Jim - Men's Organic Longsleeve";Nakedshirt;"Single Jersey, Rundhals mit Rippstrickkragen, Nackenband, Lange Ärmel mit Rippstrick-Bündchen, Seitennähte, Doppelnaht am Bund 
Medium Fit 
";"100 % Bio-Baumwolle";Herren;T-Shirts;Langarm;;Rundhals;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;170.85.jpg
175.85;"Max - Men's Single Jersey Vest ";Nakedshirt;"155 g/m², 100% Baumwolle, gekämmt und ringgesponnen, Single Jersey, Hals- und Armausschnitte mit Doppelnähten, Seitennähte, Doppelnaht am Bund, Medium Fit, Neutrales Größenetikett im Nacken.";"100% Baumwolle, gekämmt und ringgesponnen, Single Jersey";Herren;T-Shirts;Ärmellos;;Rundhals;Fair;;"155 g/m²";;;175.85.jpg
180.85;"Cliff – Men's Premium T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen 
Nackenband, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit 
";"100 % Baumwolle, (Sport Grey Melange: 60% Baumwolle, gekämmt, 40% Polyester)";Herren;T-Shirts;Kurzarm;;Rundhals;Fair;;"175 g/m²";Baumwolle;;180.85.jpg
510.85;"Grace - Women's Viscose-Cotton Pique-Polo";Nakedshirt;"American Piqué, Kragen und Ärmelbündchen aus Rippstrick 
4er-Knopfleiste, Seitennähte, Doppelnaht am Bund, Medium Fit ";"70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle";Damen;Poloshirts;Kurzarm;;Knopfleiste;"Fair & Umweltfreundlich";;"185 g/m²";Viskose;;510.85.jpg
511.85;"Charlton- Men's Viscose-Cotton Pique-Polo";Nakedshirt;"American Piqué, Kragen und Ärmelbündchen aus Rippstrick 
3er-Knopfleiste, Seitennähte, Doppelnaht am Bund, Medium Fit 
";"70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle";Herren;Poloshirts;Kurzarm;;Knopfleiste;"Fair & Umweltfreundlich";;"185 g/m²";Viskose;;511.85.jpg
601.57;"Baumwolltasche, lange Henkel";Jassz;"140 g/qm ·100% Baumwolle ·Lange Tragegriffe (ca. 70 cm) ·Cross Stitching an Tragegriffen für mehr Stabilität ·Fombeständig, durch umsäumte und eingeschlagene Innennähte ·Maße: 38 x 42 cm ·Geeignet für Stick, Sieb- und Transferdruck (bereits gebügelt).";"100% Baumwolle";;Taschen;;;;Konventionell;Baumwolltaschen;"140 g/m²";Baumwolle;PK;601.57.jpg
610.57;"Baumwolltasche, kurze Henkel";Jassz;"140 g/qm,100% Baumwolle, Kurze Tragegriffe (ca. 35 cm), Cross Stitching an Tragegriffen für mehr Stabilität, Fombeständig durch umsäumte und eingeschlagene Innennähte, Maße: 38 x 42 cm, Geeignet für Stick, Sieb- und Transferdruck (bereits gebügelt).";"100 % Baumwolle";;Taschen;;;;Konventionell;Baumwolltaschen;"140 g/m²";Baumwolle;PK;610.57.jpg
612.57;Apothekertasche;Jassz;"140 g/qm ·100% Baumwolle ·Kurze Tragegriffe (ca. 24 cm) ·Cross Stitching an Tragegriffen für mehr Stabilität ·Fombeständig, durch umsäumte und eingeschlagene Innennähte ·Maße: 22 x 26 cm ·Geeignet für Stick, Sieb- und Transferdruck (bereits gebügelt).";"100% Baumwolle";;Taschen;;;;Konventionell;Baumwolltaschen;"140 g/m²";Baumwolle;PK;612.57.jpg
626.57;"Zuziehbeutel klein";Jassz;"140 g/qm ·100% Baumwolle ·Kordelzug ·Innennähte umsäumt ·Maße: 10 x 14 cm ·Geeignet für Stick, Sieb- und Transferdruck (bereits gebügelt).";"100% Baumwolle";;Taschen;;;;Konventionell;Baumwolltaschen;"140 g/m²";Baumwolle;PK;626.57.jpg
627.57;"Zuziehbeutel, mittel";Jassz;"140 g/qm ·100% Baumwolle ·Kordelzug ·Innennähte umsäumt ·Maße: 15 x 20 cm ·Geeignet für Stick, Sieb- und Transferdruck (bereits gebügelt).";"100% Baumwolle";;Taschen;;;;;Baumwolltaschen;"140 g/m²";Baumwolle;PK;627.57.jpg
A136;"Solid Brushed Twill Cap";Anvil;"Baumwoll-Twill, Sechs Segmente, Knopf und sechs umstickte Luftlöcher, Vorgeformter Schirm mit sechs Nähten, Klemmverschluss mit Messingschnalle und verdecktem Messingringeinschub, Farblich abgestimmtes Schweißband, Unbedruckt maschinenwaschbar, Leicht gebürstet.";"100% Baumwolle";;Caps;;;;Konventionell;;;Baumwolle;KH;a136.jpg
A156;"Low-Profile Twill Cap";Anvil;"Baumwoll-Twill, Unbedruckt maschinenwaschbar, Farblich abgestimmtes Schweißband, Messingschnalle und verdeckter Messingringeinschub, Vorgeformter Schirm mit vier Nähten, Sechs Segmente, Knopf und vier metalleingefasste Luftlöcher";"100% Baumwolle";;Caps;;;;Konventionell;;;Baumwolle;KH;a156.jpg
A158;"Low-Profile Twill Visor";Anvil;"Baumwoll-Twill, Farblich abgestimmtes Schweißband, Klettverschluss, Vorgeformter Schirm mit vier Nähten, 3-teilig, Unbedruckt maschinenwaschbar";"100% Baumwolle";;Caps;;;;Konventionell;;;Baumwolle;KH;a158.jpg
A166;"Sandwich Trim Pigment Dyed Cap";Anvil;"Baumwoll-Twill, Sechs Segmente, Knopf und sechs umstickte Luftlöcher, Klettverschluss, vorgeformter Schirm, Modische Vintage Optik, Farblich abgestimmtes Schweißband, Kontraststreifen (navy) im Schirm, Unbedruckt maschinenwaschbar";"100% Baumwolle";;Caps;;;;Konventionell;;;Baumwolle;KH;a166.jpg
A176;"Low-Profile Brushed Twill Cap";Anvil;"Low Profile Brushed Twill Cap, Sechs Segmente, Knopf und sechs umstickte Luftlöcher, Schweißband und Schirmunterseite in Kontrastfarbe (Wheat), Silberfarbener Klemmverschluss mit verdecktem Ringeinschub, Unbedruckt maschinenwaschbar, Vorgeformter Schirm mit vier Nähten";"100% Baumwolle";;Caps;;;;Konventionell;;;Baumwolle;KH;a176.jpg
A2415;"Women´s Rib Tank Top";Anvil;"Ringgesponnene Baumwolle, Antailliert und mit Seitennähten, Pre-shrunk (vorgewaschen), Einfassung an Hals- und Armausschnitt, Doppelnähte am Saum, Tear Away Label";"100% Baumwolle";Damen;T-Shirts;Ärmellos;;Rundhals;Konventionell;;"190 g/m²";Baumwolle;HN;a2415.jpg
A361;"Featherweight Tee";Anvil;"Ringgesponnene Baumwolle - Eng anliegend - Schnitt mit Seitennaht - Schulterband und 1,5 cm gesäumter Kragen - Halsausschnitt vorn einfach abgesteppt - Doppelnaht an Ärmel und Saum - TearAway-Label - Vorgeschrumpft";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;;;"110 g/m²";Baumwolle;BD;a361.jpg
A362;"Featherweight V-Neck Tee";Anvil;"Ringgesponnene Baumwolle - Eng anliegend - Schnitt mit Seitennaht - Schulterband und 1,5 cm gesäumter V-Ausschnitt mit Mittelstoß - Halsausschnitt vorn einfach abgesteppt - Doppelnaht an Ärmel und Saum - TearAway-Label - Vorgeschrumpft";"100% Baumwolle";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;;;"110 g/m²";Baumwolle;BD;a362.jpg
A374L;"Women´s Fashion Basic Long Sleeve Tee";Anvil;"ringgesponnene Baumwolle, Set-in-Ärmel (Naht an der Schulter), taillierter; eher langer Schnitt, klassischer Rundhals-Ausschnitt, Midweight / mittelschwerer Stoff
";"100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester)";Damen;T-Shirts;Langarm;;Rundhals;;;"150 g/m²";Baumwolle;HN;a374l.jpg
A379N;"Women´s Fit Fashion Tee New Fit";Anvil;"Ringgesponnene Baumwolle, Körperbetont geschnitten mit Seitennähten, Nackenband, Baby-Ripp-Kragen, Doppelnähte an Ärmeln und Saum, TearAway™-Label, Öko-Tex® Standard 100*, Neuer verbesserter Schnitt, Damen-Style des Artikels A980150 g/m²100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester Heather Green, Heather Purple: 60% Polyester / 40% Baumwolle)";"100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester- Heather Green, Heather Purple: 60% Polyester / 40% Baumwolle)";Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;"150 g/m²";Baumwolle;BD;a379n.jpg
A391;"Women´s Sheer Scoop Tee";Anvil;"Ringgesponnene Baumwolle, Passform: Classic, Doppelnähte an Arm und Saum, Seitennähte, Leicht taillierter Schnitt, Pre-shrunk (vorgewaschen), Tiefer Scoop-Neck Ausschnitt, Schmale Ripp Halseinfassung, Tear Away Label";"100% Baumwolle";Damen;T-Shirts;Kurzarm;;Boat-Neck;Konventionell;;"110 g/m²";Baumwolle;BD;a391.jpg
A392;"Women´s Sheer V-Neck Tee";Anvil;"Ringgesponnene Baumwolle, Passform: Classic, Seitennähte, Schmale Ripp-Halseinfassung, Pre-shrunk (vorgewaschen), Leicht taillierter Schnitt, Doppelnähte an Arm und Saum, Heraustrennbares Label, Tiefer V-Ausschnitt";"100% Baumwolle";Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;"110 g/m²";Baumwolle;BD;a392.jpg
A399;"Women´s Sheer Long Sleeve Scoop Tee";Anvil;"Ringgesponnene Baumwolle, Schmale Ripp-Halseinfassung, Modischer leicht tallierter Schnitt mit Seitennähten, Tear Away Label, Passform: Classic, Tiefer Scoop-Neck Ausschnitt, Doppelnähte an Arm und Saum, Pre-Shrunk (vorgewaschen)";"100% Baumwolle";Damen;T-Shirts;Langarm;;Boat-Neck;Konventionell;;"110 g/m²";Baumwolle;BD;a399.jpg
A450;"Sustainable™ Tee";Anvil;"50% zertifiziert, organische Baumwolle / 50% recyceltes PET Polyester, Tear Away Label, Durchgehendes Schulterband und Halsbündchen, Jedes Shirt enthält ca. drei recycelte P.E.T. Flaschen, Doppelnähte an Arm und Saum, Einlaufvorbehandelt";"50% Baumwolle / 50% Polyester";Herren;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;;Baumwollgemisch;HN;a450.jpg
A490;"Organic Men´s Fashion Tee";Anvil;"Organische, ringgesponnene Baumwolle, Modischer Schnitt, Durchgehendes Schulterband, Doppelnähte an Arm und Saum, Tear Away Label, Schmales 1x1 Ripp-Halsbündchen, Rundgestrickt";"100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester)";Herren;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;"155 g/m²";Baumwolle;HN;a490.jpg
A5624;"Fashion Basic Long & Lean Tee";Anvil;"Ringgesponnene Baumwolle, Material 30/1, Hohe Maschendichte für glattere Druckfläche, Tailliert, Seiten mit Schlitz und 5.1 cm verlängertem Rückenteil, Durchgehendes Schulterband und 1.3 cm Halsbündchen, Doppelnähte an Ärmel und Saum, Tear-Away-Label, Schadstoff geprüft: Öko-Tex 100®";;Herren;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;HN;a5624.jpg
A5628;"Fashion Basic Long & Lean Raglan Long Sleeve Tee";Anvil;"Ringgesponnene Baumwolle, Material 30/1, Hohe Maschendichte für glattere Druckfläche, Tailliert, Seiten mit Schlitz und 5.1 cm verlängertem Rückenteil, Durchgehendes Schulterband und 1.3 cm Halsbündchen, Lange Ärmel im Raglanschnitt, Doppelnähte an Ärmel und Saum, Tear-Away-Label, Schadstoff geprüft: Öko-Tex 100®";;Herren;T-Shirts;Langarm;;Rundhals;;;;Baumwolle;HN;a5628.jpg
A6280;"Double Piqué Polo";Anvil;"Ringgesponnene Doppelpiqué-Baumwolle, Modischer Schnitt mit Seitennähten, Ripp-Strick Kragen, Gewebtes Label, Knopfleiste mit drei Knöpfen (Ton-in-Ton),  falls eine zweite Farbe angegeben ist: Unterseite der Knopfleiste in Kontrastfarbe, Seitenschlitze, Vorgeschrumpft";"100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester)";Herren;Poloshirts;Kurzarm;;Knopfleiste;;;"210 g/m²";Baumwolle;HN;a6280.jpg
A6280L;"Women´s Double Piqué Polo";Anvil;"klassisches Baumwoll-Piqué, 3er-Leiste mit Ton-in-Ton Knöpfen, kontrastierende Kragen und Knopinnenleisten bei 2-Ton-Varianten, funktionale Basic Qualität, reguläre Weite bei größerer Länge, Ärmel ohne enges Bündchen, Seitenschlitze, Midweight / mittelschwerer Stoff";"100% Baumwolle (Heather Grey: 90% Baumwolle / 10% Polyester)";Damen;Poloshirts;Kurzarm;;Knopfleiste;;;"210 g/m²";Baumwolle;HN;a6280l.jpg
A6750;"Tri-Blend Tee";Anvil;"Leicht tailliert, Schnitt mit Seitennaht, Schulterband und 1.5 cm gesäumter Kragen, Halsausschnitt vorn einfach abgesteppt, Doppelnaht an Ärmel und Saum, TearAway-Label, Gekämmtes. ringgesponnenes Baumwollmischgewebe (Polyester/Viskose)";"50% Polyester / 25% Baumwolle / 25% Viskose";Herren;T-Shirts;Kurzarm;;Rundhals;;;"159 g/m²";Polyestergemisch;HN;a6750.jpg
A6750L;"Women´s Tri-Blend Tee";Anvil;"Gekämmte ringgesponnene Baumwolle, Material 30/1, Hohe Maschendichte für glattere Druckoberfläche, Antaillierte Passform mit Seitennaht, Durchgehendes Schulterband und Halsbündchen, Doppelnähte an Ärmeln und rundem Saum, Tear-Away-Label, Schadstoff geprüft: Öko-Tex 100®";;Damen;T-Shirts;Kurzarm;;Rundhals;;;;Polyestergemisch;SV;a6750l.jpg
A6750VL;"Womens Tri-Blend V-Neck Tee";Anvil;"Leicht taillierter Schnitt mit Seitennaht und Nackenband, 1.3 cm V-Ausschnitt mit Ripp, Halsausschnitt vorn einfach abgesteppt, Doppelnaht an Dolman-Ärmel und abgerundeter Saum, TearAway-Label, Gekämmtes. ringgesponnenes Baumwollmischgewebe (Baumwolle/Polyester/Viskose), Vorgeschrumpft";"50% Polyester / 25% Baumwolle / 25% Viskose";Damen;T-Shirts;Kurzarm;;V-Ausschnitt;;;"159 g/m²";Polyestergemisch;HN;a6750vl.jpg
A6751L;"Women’s Tri-Blend Racerback Tank ";Anvil;"Leicht taillierter Racerback-Schnitt mit Seitennaht, Einfassung im gleichen Stoff an Ausschnitt und Armöffnung, Abgerundeter Saum mit Doppelnaht, TearAway-Label, Gekämmtes. ringgesponnenes Baumwollmischgewebe (Baumwolle/Polyester/Viskose), Vorgeschrumpft";"50% Polyester / 25% Baumwolle / 25% Viskose
";Damen;T-Shirts;Ärmellos;;Rundhals;;;"159 g/m²";Polyestergemisch;HN;a6751l.jpg
A6752;"Tri-Blend V-Neck Tee";Anvil;"Leicht tailliert - Schnitt mit Seitennaht - Schulterband und 1,5 cm gesäumter V-Ausschnitt mit Mittelstoß - Halsausschnitt vorn einfach abgesteppt - Doppelnaht an Ärmel und Saum - TearAway-Label - Gekämmtes, ringgesponnenes Baumwollmischgewebe (Baumwolle/Polyester/Viskose)";"50% Polyester / 25% Baumwolle / 25% Viskose";Herren;T-Shirts;Kurzarm;;V-Ausschnitt;;;"159 g/m²";Polyestergemisch;HN;a6752.jpg
